 ,Area(black),Mean(black),Min(black),Max(black),Area(white),Mean(white),Min(white),Max(white),Area(nuca),Mean(nuca),Min(nuca),Max(nuca),Area(DorsoA),Mean(DorsoA),Min(DorsoA),Max(DorsoA),Area(DorsoM),Mean(DorsoM),Min(DorsoM),Max(DorsoM),Area(DorsoB),Mean(DorsoB),Min(DorsoB),Max(DorsoB),Area(CobA),Mean(CobA),Min(CobA),Max(CobA)
1,1444,7.329,0,7,6080,254.855,254,255,19724,44.348,30,68,58448,71.223,12,148,352668,81.423,34,100,20060,52.943,41,109,49273,75.952,52,118
2,1444,10.396,1,13,6080,255,255,255,19724,127.24,106,141,58448,128.968,76,190,352668,145.945,95,201,20060,126.852,107,157,49273,137.989,108,181
3,1444,11.38,0,15,6080,255,255,255,19724,208.3,162,235,58448,196.366,163,215,352668,190.23,150,215,20060,186.12,150,213,49273,191.866,161,203
4,1444,10.36,0,14,6080,255,255,255,19724,142.608,95,193,58448,168.87,93,212,352668,175.537,143,201,20060,155.188,114,202,49273,174.408,129,196
