 ,Area(BLACK),Mean(BLACK),Min(BLACK),Max(BLACK),Area(WHITE),Mean(WHITE),Min(WHITE),Max(WHITE),Area(Nuca),Mean(Nuca),Min(Nuca),Max(Nuca),Area(DorsoA),Mean(DorsoA),Min(DorsoA),Max(DorsoA),Area(DorsoM),Mean(DorsoM),Min(DorsoM),Max(DorsoM),Area(DorsoB),Mean(DorsoB),Min(DorsoB),Max(DorsoB),Area(CobA),Mean(CobA),Min(CobA),Max(CobA)
1,1088,4.157,0,10,9396,227.032,224,231,14140,57.622,31,78,83888,62.447,12,131,383128,57.623,16,127,161456,62.952,42,105,18116,55.721,41,83
2,1088,9.41,5,14,9396,255,255,255,14140,118.696,76,139,83888,133.791,61,202,383128,120.402,54,187,161456,119.818,96,118,18116,123.823,102,141
3,1088,13.742,3,25,9396,255,255,255,14140,195.752,122,208,83888,205.774,127,255,383128,179.126,92,251,161456,170.482,105,180,18116,174.921,127,182
4,1088,5.524,0,11,9396,243.886,235,252,14140,132.817,71,156,83888,136.174,45,155,383128,154.364,24,160,161456,162.42,81,165,18116,157.646,102,171
