 ,Area(black),Mean(black),Min(black),Max(black),Area(white),Mean(white),Min(white),Max(white),Area(nuca),Mean(nuca),Min(nuca),Max(nuca),Area(DorsoA),Mean(DorsoA),Min(DorsoA),Max(DorsoA),Area(DorsoM),Mean(DorsoM),Min(DorsoM),Max(DorsoM),Area(DorsoB),Mean(DorsoB),Min(DorsoB),Max(DorsoB),Area(CobA),Mean(CobA),Min(CobA),Max(CobA)
1,1505,3.856,0,8,6720,255,255,255,26276,60.856,20,85,58448,56.699,28,99,352668,82.56,29,153,20060,72.957,41,127,87024,86.128,52,137
2,1505,8.104,5,15,6720,255,255,255,26276,127.007,92,165,58448,125.467,84,167,352668,134.266,60,213,20060,128.016,82,191,87024,135.358,102,206
3,1505,14.601,2,27,6720,255,255,255,26276,204.587,155,249,58448,194.91,121,239,352668,180.197,94,255,20060,176.699,116,242,87024,192.687,147,255
4,1505,3.02,0,4,6720,255,255,255,26276,142.588,97,175,58448,137.879,67,169,352668,115.166,22,196,20060,127.917,35,194,87024,138.791,72,215
