 ,Area(BLACK),Mean(BLACK),Min(BLACK),Max(BLACK),Area(WHITE),Mean(WHITE),Min(WHITE),Max(WHITE),Area(Nuca),Mean(Nuca),Min(Nuca),Max(Nuca),Area(DorsoA),Mean(DorsoA),Min(DorsoA),Max(DorsoA),Area(DorsoM),Mean(DorsoM),Min(DorsoM),Max(DorsoM),Area(DorsoB),Mean(DorsoB),Min(DorsoB),Max(DorsoB),Area(CobA),Mean(CobA),Min(CobA),Max(CobA)
1,1485,5.117,0,12,9396,248.226,245,255,14140,38.412,25,45,35142,75.253,45,87,301857,75.253,57,102,9064,56.179,25,84,8265,73.548,55,97
2,1485,9.752,3,14,9396,255,255,255,14140,108.182,89,142,35142,139.274,127,153,301857,139.274,89,184,9064,136.861,100,163,8265,136.426,127,150
3,1485,17.163,0,38,9396,255,254,255,14140,190.551,161,217,35142,184.204,123,193,301857,184.204,96,205,9064,180.195,177,229,8265,192.754,171,212
4,1485,3.251,0,5,9396,223.382,216,232,14140,121.212,104,143,35142,146.682,115,163,301857,146.682,94,175,9064,146.564,119,163,8265,127.777,82,132
