 ,Area(black),Mean(black),Min(black),Max(black),Area(white),Mean(white),Min(white),Max(white),Area(nuca),Mean(nuca),Min(nuca),Max(nuca),Area(DorsoA),Mean(DorsoA),Min(DorsoA),Max(DorsoA),Area(DorsoM),Mean(DorsoM),Min(DorsoM),Max(DorsoM),Area(DorsoB),Mean(DorsoB),Min(DorsoB),Max(DorsoB),Area(CobA),Mean(CobA),Min(CobA),Max(CobA)
1,1444,3.474,0,8,4896,249.722,246,251,19724,65.791,32,165,38192,65.771,47,170,313730,75.824,52,156,5856,46.712,26,73,8488,81.743,64,101
2,1444,6.055,2,11,4896,255,255,255,19724,134.341,79,226,38192,131.263,120,226,313730,138.403,108,217,5856,102.111,93,112,8488,130.892,107,156
3,1444,11.307,0,22,4896,255,255,255,19724,211.192,126,255,38192,184.667,160,225,313730,177.846,110,215,5856,174.211,151,207,8488,179.706,142,210
4,1444,4.303,0,11,4896,255,255,255,19724,153.526,79,205,38192,138.644,108,210,313730,148.513,68,203,5856,127.362,88,181,8488,150.413,103,188
