 ,Area(black),Mean(black),Min(black),Max(black),Area(white),Mean(white),Min(white),Max(white),Area(nuca),Mean(nuca),Min(nuca),Max(nuca),Area(DorsoA),Mean(DorsoA),Min(DorsoA),Max(DorsoA),Area(DorsoM),Mean(DorsoM),Min(DorsoM),Max(DorsoM),Area(DorsoB),Mean(DorsoB),Min(DorsoB),Max(DorsoB),Area(CobA),Mean(CobA),Min(CobA),Max(CobA)
1,1444,4.611,0,7,6080,252.956,250,255,19724,37.453,30,48,58448,68.135,72,108,352668,78.211,64,120,20060,51.876,31,89,49273,77.033,52,118
2,1444,10.803,1,12,6080,255,255,255,19724,109.605,96,171,58448,119.384,96,140,352668,139.063,105,151,20060,119.86,97,147,49273,133.292,108,181
3,1444,19.871,0,21,6080,254.992,254,255,19724,201.817,182,205,58448,201.817,163,215,352668,178.043,160,205,20060,188.367,160,215,49273,191.539,141,203
4,1444,3.675,0,7,6080,255,255,255,19724,143.889,115,173,58448,143.889,113,182,352668,161.124,143,181,20060,151.72,144,182,49273,151.146,109,176
