 ,Area(BLACK),Mean(BLACK),Min(BLACK),Max(BLACK),Area(WHITE),Mean(WHITE),Min(WHITE),Max(WHITE),Area(Nuca),Mean(Nuca),Min(Nuca),Max(Nuca),Area(DorsoA),Mean(DorsoA),Min(DorsoA),Max(DorsoA),Area(DorsoM),Mean(DorsoM),Min(DorsoM),Max(DorsoM),Area(DorsoB),Mean(DorsoB),Min(DorsoB),Max(DorsoB),Area(CobA),Mean(CobA),Min(CobA),Max(CobA)
1,1292,5.806,0,14,9396,248.761,246,250,14140,49.357,35,79,35142,62.397,15,113,301857,64.267,44,131,19580,48.683,22,70,8265,71.375,45,99
2,1292,9.472,4,18,9396,255,255,255,14140,123.34,93,155,35142,129.188,79,172,301857,130.74,75,200,19580,116.125,84,139,8265,134.797,103,167
3,1292,18.889,8,24,9396,255,255,255,14140,212.868,184,225,35142,216.783,132,252,301857,190.158,128,225,19580,184.937,147,224,8265,196.761,164,244
4,1292,8.543,0,18,9396,255,255,255,14140,157.523,102,210,35142,169.35,57,212,301857,185.652,57,225,15808,164.402,136,227,8265,172.37,126,218
