 ,Area(BLACK),Mean(BLACK),Min(BLACK),Max(BLACK),Area(WHITE),Mean(WHITE),Min(WHITE),Max(WHITE),Area(Nuca),Mean(Nuca),Min(Nuca),Max(Nuca),Area(DorsoA),Mean(DorsoA),Min(DorsoA),Max(DorsoA),Area(DorsoM),Mean(DorsoM),Min(DorsoM),Max(DorsoM),Area(DorsoB),Mean(DorsoB),Min(DorsoB),Max(DorsoB),Area(CobA),Mean(CobA),Min(CobA),Max(CobA)
1,1638,4.755,0,14,9396,255,255,255,41444,63.535,14,146,87040,70.153,16,146,344722,74.09,21,143,66318,70.702,45,143,6566,56.493,61,115
2,1638,10.432,4,22,9396,255,255,255,41444,133.165,75,212,87040,132.32,65,218,344722,128.678,71,188,66318,128.653,96,208,6566,130.181,122,177
3,1638,19.673,7,61,9396,255,255,255,41444,213.734,120,255,87040,203.856,106,255,344722,190.225,116,255,66318,190.541,126,255,6566,185.279,176,247
4,1638,5.003,0,15,9396,231.1,186,239,41444,141.845,12,136,87040,126.585,4,149,344722,146.157,9,158,66318,138.424,20,161,6566,153.746,37,125
