 ,Area(BLACK),Mean(BLACK),Min(BLACK),Max(BLACK),Area(WHITE),Mean(WHITE),Min(WHITE),Max(WHITE),Area(Nuca),Mean(Nuca),Min(Nuca),Max(Nuca),Area(DorsoA),Mean(DorsoA),Min(DorsoA),Max(DorsoA),Area(DorsoM),Mean(DorsoM),Min(DorsoM),Max(DorsoM),Area(DorsoB),Mean(DorsoB),Min(DorsoB),Max(DorsoB),Area(CobA),Mean(CobA),Min(CobA),Max(CobA)
1,1512,5.903,0,12,9396,255,255,255,28288,46.978,13,82,50092,69.557,38,89,269446,67.425,21,136,15808,54.058,25,74,8265,64.292,45,87
2,1512,11.098,6,18,9396,255,255,255,28288,120.1,60,156,50092,119.293,83,132,269446,130.861,82,197,15808,118.658,95,141,8265,124.891,93,156
3,1512,20.851,2,39,9396,255,255,255,28288,201.188,105,238,50092,198.565,171,205,269446,188.215,156,235,15808,179621,153,219,8265,185.93,140,224
4,1512,9.899,0,20,9396,255,255,255,28288,151.644,47,187,50092,150.503,105,179,269446,161.218,62,200,15808,148.229,79,181,8265,175.277,143,201
