 ,Area(black),Mean(black),Min(black),Max(black),Area(white),Mean(white),Min(white),Max(white),Area(nuca),Mean(nuca),Min(nuca),Max(nuca),Area(DorsoA),Mean(DorsoA),Min(DorsoA),Max(DorsoA),Area(DorsoM),Mean(DorsoM),Min(DorsoM),Max(DorsoM),Area(DorsoB),Mean(DorsoB),Min(DorsoB),Max(DorsoB),Area(CobA),Mean(CobA),Min(CobA),Max(CobA)
1,2496,3.01,0,7,2304,217.382,212,221,15584,56.334,17,116,27820,60.049,49,115,196556,63.76,49,104,18912,57.379,48,64,8644,68.16,48,85
2,2496,4.899,1,9,2304,255,255,255,15584,121.286,54,181,27820,125.313,108,162,196556,128.167,70,181,18912,107.347,86,121,8644,126.393,104,137
3,2496,6.605,0,18,2304,255,255,255,15584,190.861,84,240,27820,184.067,132,195,196556,168.19,109,192,18912,159.665,131,174,8644,170.885,156,188
4,2496,5.597,0,15,2304,255,255,255,15584,150.671,51,194,27820,135.68,117,188,196556,139.696,111,174,18912,151.586,127,173,8644,154.681,136,183
