 ,Area(black),Mean(black),Min(black),Max(black),Area(white),Mean(white),Min(white),Max(white),Area(nuca),Mean(nuca),Min(nuca),Max(nuca),Area(DorsoA),Mean(DorsoA),Min(DorsoA),Max(DorsoA),Area(DorsoM),Mean(DorsoM),Min(DorsoM),Max(DorsoM),Area(DorsoB),Mean(DorsoB),Min(DorsoB),Max(DorsoB),Area(CobA),Mean(CobA),Min(CobA),Max(CobA)
1,1444,3.546,0,8,4760,252.74,250,254,25246,64.6,21,118,73212,63.866,17,130,300228,73.553,50,111,26076,48.773,10,94,13192,74.651,45,112
2,1444,6.628,1,11,4760,255,255,255,25246,121.538,79,193,73212,125.212,64,196,300228,120.097,91,153,26076,106.619,44,150,13192,133.834,105,175
3,1444,10.473,1,20,4760,254.984,254,255,25246,187.578,124,252,73212,185.791,120,255,300228,172.223,129,202,26076,163.168,86,205,13192,186.99,141,205
4,1444,4.733,0,13,4760,255,255,255,25246,134.555,91,192,73212,131.322,48,200,300228,130.484,82,154,26076,146.102,84,149,13192,154.807,111,204
