 ,Area(black),Mean(black),Min(black),Max(black),Area(white),Mean(white),Min(white),Max(white),Area(nuca),Mean(nuca),Min(nuca),Max(nuca),Area(DorsoA),Mean(DorsoA),Min(DorsoA),Max(DorsoA),Area(DorsoM),Mean(DorsoM),Min(DorsoM),Max(DorsoM),Area(DorsoB),Mean(DorsoB),Min(DorsoB),Max(DorsoB),Area(CobA),Mean(CobA),Min(CobA),Max(CobA)
1,1444,2.687,0,7,3604,229.257,226,232,29392,60.608,7,116,73212,81.823,2,65,300228,73.734,21,139,4548,46.291,26,72,8488,68.243,43,91
2,1444,5.372,1,11,3604,255,255,255,29392,120.655,48,176,73212,106.521,43,126,300228,127.533,64,200,4548,114.761,91,138,8488,127.068,106,148
3,1444,6.834,0,15,3604,255,255,255,29392,187.658,88,233,73212,188.381,63,184,300228,180.357,82,255,4548,168.823,142,200,8488,172.506,133,192
4,1444,3.517,0,16,3604,255,255,255,29392,122.809,34,167,73212,140.315,35,168,300228,128.316,35,192,4548,158.361,129,184,8488,146.814,102,170
