 ,Area(black),Mean(black),Min(black),Max(black),Area(white),Mean(white),Min(white),Max(white),Area(nuca),Mean(nuca),Min(nuca),Max(nuca),Area(DorsoA),Mean(DorsoA),Min(DorsoA),Max(DorsoA),Area(DorsoM),Mean(DorsoM),Min(DorsoM),Max(DorsoM),Area(DorsoB),Mean(DorsoB),Min(DorsoB),Max(DorsoB),Area(CobA),Mean(CobA),Min(CobA),Max(CobA)
1,1584,2.468,0,11,1152,254.988,254,255,14328,71.623,20,98,45772,72.517,46,91,171632,67.829,40,128,36176,65.002,44,84,12404,84.055,55,115
2,1584,3.42,0,12,1152,255,255,255,14328,140.976,87,211,45772,139.665,102,179,171632,121.222,85,158,36176,113.61,85,134,12404,129.6,119,182
3,1584,6.128,0,20,1152,255,255,255,14328,186.271,161,215,45772,183.387,163,205,171632,186.577,117,205,36176,162.094,115,194,12404,192.963,168,206
4,1584,6.734,0,20,1152,255,255,255,14328,163.783,145,211,45772,140.344,113,184,171632,150.62,106,194,36176,154.791,100,181,12404,153.128,144,190
