 ,Area(black),Mean(black),Min(black),Max(black),Area(white),Mean(white),Min(white),Max(white),Area(nuca),Mean(nuca),Min(nuca),Max(nuca),Area(DorsoA),Mean(DorsoA),Min(DorsoA),Max(DorsoA),Area(DorsoM),Mean(DorsoM),Min(DorsoM),Max(DorsoM),Area(DorsoB),Mean(DorsoB),Min(DorsoB),Max(DorsoB),Area(CobA),Mean(CobA),Min(CobA),Max(CobA)
1,1444,3.855,0,9,4896,251.256,248,254,29392,75.256,18,87,49872,62.03,25,119,313730,81.514,44,141,9376,67.063,42,125,8488,90.82,74,111
2,1444,7.972,3,12,4896,254.999,254,255,29392,124.51,56,148,49872,112.789,79,179,313730,134.863,87,210,9376,129.174,104,186,8488,136.185,126,200
3,1444,12.258,2,20,4896,254.889,253,255,29392,203.085,71,224,49872,184.633,109,241,313730,176.843,103,255,9376,189.282,137,240,8488,185.741,174,205
4,1444,2.601,0,11,4896,254.953,235,255,29392,145.585,17,162,49872,141.22,83,172,313730,146.145,49,204,9376,130.953,79,181,8488,151.934,127,180
