 ,Area(black),Mean(black),Min(black),Max(black),Area(white),Mean(white),Min(white),Max(white),Area(nuca),Mean(nuca),Min(nuca),Max(nuca),Area(DorsoA),Mean(DorsoA),Min(DorsoA),Max(DorsoA),Area(DorsoM),Mean(DorsoM),Min(DorsoM),Max(DorsoM),Area(DorsoB),Mean(DorsoB),Min(DorsoB),Max(DorsoB),Area(CobA),Mean(CobA),Min(CobA),Max(CobA)
1,1444,2.978,0,7,5440,224.593,186,255,19724,57.609,28,104,38192,62.709,36,115,189047,70.356,35,115,3848,47.903,32,67,7894,72.994,51,99
2,1444,4.595,1,8,5440,255,255,255,19724,124.491,60,180,38192,116.756,72,179,189047,129.185,84,182,3848,117.037,85,139,7894,124.909,110,157
3,1444,7.911,0,16,5440,255,255,255,19724,198.893,101,250,38192,179.498,101,243,189047,186.828,109,255,3848,185.639,130,218,7894,199.7,148,228
4,1444,3.95,0,14,5440,225.334,215,234,19724,124.222,11,145,38192,119.054,15,124,189047,122.061,27,160,3848,123.927,84,146,7894,143.433,121,162
