 ,Area(BLACK),Mean(BLACK),Min(BLACK),Max(BLACK),Area(WHITE),Mean(WHITE),Min(WHITE),Max(WHITE),Area(Nuca),Mean(Nuca),Min(Nuca),Max(Nuca),Area(DorsoA),Mean(DorsoA),Min(DorsoA),Max(DorsoA),Area(DorsoM),Mean(DorsoM),Min(DorsoM),Max(DorsoM),Area(DorsoB),Mean(DorsoB),Min(DorsoB),Max(DorsoB),Area(CobA),Mean(CobA),Min(CobA),Max(CobA)
1,1088,2.305,0,7,9396,216.316,211,221,14140,35.048,17,58,83888,55.378,39,79,209354,69.694,59,98,18579,43.302,21,65,8265,54.126,35,77
2,1088,5.392,2,9,9396,255,255,255,14140,121.629,111,137,83888,115.684,84,158,209354,144.149,111,182,18579,125.944,96,136,8265,115.068,82,134
3,1088,7.584,0,18,9396,255,255,255,14140,201.954,176,213,83888,180.858,123,220,209354,171.724,101,182,18579,170.892,148,197,8265,181.057,129,207
4,1088,6.827,3,13,9396,255,255,255,14140,145.262,132,179,83888,165.553,111,190,209354,170.206,109,188,18579,168.911,110,182,8265,147.754,121,188
