 ,Area(black),Mean(black),Min(black),Max(black),Area(white),Mean(white),Min(white),Max(white),Area(nuca),Mean(nuca),Min(nuca),Max(nuca),Area(DorsoA),Mean(DorsoA),Min(DorsoA),Max(DorsoA),Area(DorsoM),Mean(DorsoM),Min(DorsoM),Max(DorsoM),Area(DorsoB),Mean(DorsoB),Min(DorsoB),Max(DorsoB),Area(CobA),Mean(CobA),Min(CobA),Max(CobA)
1,1892,3.976,0,8,6080,244.719,252,255,19724,63.338,47,87,58448,65.705,27,169,352668,60.627,30,170,20060,59.467,49,138,68921,64.009,52,118
2,1892,7.719,2,12,6080,255,255,255,19724,121.475,91,186,58448,135.452,83,233,352668,121.819,84,241,20060,110.091,99,203,68921,125.277,104,176
3,1892,7.239,3,21,6080,255,255,255,19724,202.35,154,219,58448,199.576,145,255,352668,188.136,110,255,20060,182.364,123,255,68921,187.323,135,232
4,1892,8.914,0,10,6080,255,255,255,19724,160.208,124,178,58448,168.401,89,188,352668,169.804,27,201,20060,153.66,86,189,68921,168.882,101,194
