 ,Area(BLACK),Mean(BLACK),Min(BLACK),Max(BLACK),Area(WHITE),Mean(WHITE),Min(WHITE),Max(WHITE),Area(Nuca),Mean(Nuca),Min(Nuca),Max(Nuca),Area(DorsoA),Mean(DorsoA),Min(DorsoA),Max(DorsoA),Area(DorsoM),Mean(DorsoM),Min(DorsoM),Max(DorsoM),Area(DorsoB),Mean(DorsoB),Min(DorsoB),Max(DorsoB),Area(CobA),Mean(CobA),Min(CobA),Max(CobA)
1,1512,5.394,0,11,9396,254.737,252,255,28288,50.119,20,100,83078,65.997,18,125,269446,65.655,26,132,15808,66.168,40,90,8265,70.956,20,62
2,1512,10.03,2,12,9396,254.999,254,255,28288,116.599,69,128,83078,130.934,81,198,269446,130.166,77,200,15808,132.689,108,165,8265,121.519,82,128
3,1512,11.73,0,14,9396,255,255,255,28288,192.817,124,225,83078,195.971,145,255,269446,186.212,98,255,15808,186.314,171,215,8265,186.855,161,216
4,1512,10.489,1,12,9396,255,255,255,28288,159.21,87,207,83078,165.694,108,232,269446,162.734,36,222,15808,153.365,182,233,8265,157.453,96,173
