 ,Area(BLACK),Mean(BLACK),Min(BLACK),Max(BLACK),Area(WHITE),Mean(WHITE),Min(WHITE),Max(WHITE),Area(Nuca),Mean(Nuca),Min(Nuca),Max(Nuca),Area(DorsoA),Mean(DorsoA),Min(DorsoA),Max(DorsoA),Area(DorsoM),Mean(DorsoM),Min(DorsoM),Max(DorsoM),Area(DorsoB),Mean(DorsoB),Min(DorsoB),Max(DorsoB),Area(CobA),Mean(CobA),Min(CobA),Max(CobA)
1,1512,152.973,0,11,9396,255,255,255,14140,54.055,18,81,53912,65.8,23,101,384248,80.289,29,167,15808,68.533,63,91,8265,76.895,53,97
2,1512,11.235,5,17,9396,255,255,255,14140,125.871,79,160,53912,129.622,83,168,384248,142.938,92,233,15808,137.842,121,184,8265,122.201,95,136
3,1512,18.903,7,32,9396,255,255,255,14140,216.973,142,255,53912,199.906,157,225,384248,184.85,120,255,15808,176.017,162,195,8265,198.931,170,228
4,1512,7.87,0,17,9396,255,255,255,14140,152.988,63,204,53912,169.933,107,212,384248,174.103,78,221,15808,170.154,148,191,8265,150.288,123,171
