 ,Area(black),Mean(black),Min(black),Max(black),Area(white),Mean(white),Min(white),Max(white),Area(nuca),Mean(nuca),Min(nuca),Max(nuca),Area(DorsoA),Mean(DorsoA),Min(DorsoA),Max(DorsoA),Area(DorsoM),Mean(DorsoM),Min(DorsoM),Max(DorsoM),Area(DorsoB),Mean(DorsoB),Min(DorsoB),Max(DorsoB),Area(CobA),Mean(CobA),Min(CobA),Max(CobA)
1,1584,3.153,0,11,1152,245.506,243,248,14328,66.353,32,125,45772,65.902,23,124,171632,79.512,42,127,5428,75.311,56,101,12404,40.224,14,72
2,1584,5.967,1,12,1152,255.000,255,255,14328,113.849,67,181,45772,109.683,39,182,171632,130.181,79,185,5428,133.799,114,159,12404,91.132,41,124
3,1584,10.291,0,20,1152,254.990,253,255,14328,151.659,92,245,45772,145.967,61,234,171632,167.467,98,239,5428,176.331,145,209,12404,136.677,80,165
4,1584,3.906,0,10,1152,255.000,255,255,14328,95.095,23,167,45772,99.131,19,181,171632,125.147,33,197,5428,144.848,87,177,12404,112.523,57,148
