 ,Area(black),Mean(black),Min(black),Max(black),Area(white),Mean(white),Min(white),Max(white),Area(nuca),Mean(nuca),Min(nuca),Max(nuca),Area(DorsoA),Mean(DorsoA),Min(DorsoA),Max(DorsoA),Area(DorsoM),Mean(DorsoM),Min(DorsoM),Max(DorsoM),Area(DorsoB),Mean(DorsoB),Min(DorsoB),Max(DorsoB),Area(CobA),Mean(CobA),Min(CobA),Max(CobA)
1,1892,3.537,0,8,6080,253.977,252,255,19724,75.436,27,135,58448,77.737,27,169,352668,78.774,30,170,20060,70.707,49,138,68921,80.551,52,118
2,1892,7.022,2,12,6080,255,255,255,19724,145.468,91,206,58448,141.578,83,233,352668,135.689,84,241,20060,132.493,99,203,68921,139.458,104,176
3,1892,11.681,3,21,6080,255,255,255,19724,214.169,154,255,58448,204.74,145,255,352668,186.944,110,255,20060,188.435,123,255,68921,191.901,135,232
4,1892,4.456,0,10,6080,255,255,255,19724,149.526,94,178,58448,128.989,89,188,352668,133.996,27,201,20060,147.734,86,189,68921,153.461,101,194
