 ,Area(black),Mean(black),Min(black),Max(black),Area(white),Mean(white),Min(white),Max(white),Area(nuca),Mean(nuca),Min(nuca),Max(nuca),Area(DorsoA),Mean(DorsoA),Min(DorsoA),Max(DorsoA),Area(DorsoM),Mean(DorsoM),Min(DorsoM),Max(DorsoM),Area(DorsoB),Mean(DorsoB),Min(DorsoB),Max(DorsoB),Area(CobA),Mean(CobA),Min(CobA),Max(CobA)
1,1444,3.399,0,7,6080,254.855,254,255,19724,76.555,30,168,58448,80.761,12,148,352668,81.969,34,170,20060,79.731,31,139,49273,79.731,52,118
2,1444,5.834,1,10,6080,255,255,255,19724,150.643,96,231,58448,145.309,76,220,352668,136.352,85,231,20060,133.43,87,207,49273,133.43,108,181
3,1444,9.309,0,23,6080,255,255,255,19724,216.609,162,255,58448,183.076,143,255,352668,189.153,130,255,20060,184.158,130,255,49273,184.158,141,233
4,1444,3.945,0,14,6080,255,255,255,19724,150.658,95,193,58448,140.616,93,212,352668,131.649,43,201,20060,144.131,74,202,49273,144.131,89,196
