 ,Area(BLACK),Mean(BLACK),Min(BLACK),Max(BLACK),Area(WHITE),Mean(WHITE),Min(WHITE),Max(WHITE),Area(Nuca),Mean(Nuca),Min(Nuca),Max(Nuca),Area(DorsoA),Mean(DorsoA),Min(DorsoA),Max(DorsoA),Area(DorsoM),Mean(DorsoM),Min(DorsoM),Max(DorsoM),Area(DorsoB),Mean(DorsoB),Min(DorsoB),Max(DorsoB),Area(CobA),Mean(CobA),Min(CobA),Max(CobA)
1,1638,3.178,0,12,9396,254.336,252,255,46448,63.338,51,102,127932,68.039,14,134,428164,73.609,23,144,66318,65.613,24,145,8265,69.024,63,114
2,1638,5.805,0,16,9396,254.999,254,255,46448,121.475,97,170,127932,122.797,71,189,428164,138.894,96,208,66318,130.286,91,213,8265,129.644,118,178
3,1638,9.416,0,31,9396,255,255,255,46448,188.057,126,216,127932,191.201,86,226,428164,190.61,128,255,66318,178.429,120,255,8265,196.194,177,255
4,1638,13.208,4,35,9396,255,255,255,46448,146.331,122,169,127932,143.285,43,225,428164,179.799,79,239,66318,182.364,61,229,6566,162.552,141,226
